Tên	STT	Loại	Dân số (người)	Diện tích (km2)	Mật độ (người/km2)	Sáp nhập toàn bộ từ	Sáp nhập một phần từ	Giáp ranh	Trụ sở hành chính 1	Địa chỉ trụ sở hành chính 1	Full Address 1	Latitude 1	Longitude 1	Trụ sở hành chính 2	Địa chỉ trụ sở hành chính 2	Full Address 2	Latitude 2	Longitude 2	Ghi chú trụ sở
Củ Chi	55	Xã	128661	64.88	1983.06	Xã Tân Phú Trung (H. Củ Chi), Xã Tân Thông Hội (H. Củ Chi), Xã Phước Vĩnh An (H. Củ Chi)		xã Tân An Hội, xã Nhuận Đức, xã Phú Hoà Đông, xã Hóc Môn, xã Xuân Thới Sơn và tỉnh Tây Ninh	UBND xã Tân Phú Trung	số 314 Phan Văn Khải (quốc lộ 22), xã Tân Phú Trung, huyện Củ Chi	UBND xã Tân Phú Trung số 314 Phan Văn Khải (quốc lộ 22), xã Tân Phú Trung, huyện Củ Chi 	10.9399106	106.5395242			  			
Đất Đỏ	56	Xã	43862	119.77	366.23	Thị trấn Đất Đỏ, Xã Láng Dài, Xã Long Tân, Xã Phước Long Thọ (H. Long Đất)		phường Tam Long, xã Long Điền, xã Phước Hải, xã Hồ Tràm, xã Xuân Sơn và xã Nghĩa Thành	UBND huyện Long Đất	đường Võ Thị Sáu, khu phố Hòa Hội, thị trấn Đất Đỏ, huyện Long Đất	UBND huyện Long Đất đường Võ Thị Sáu, khu phố Hòa Hội, thị trấn Đất Đỏ, huyện Long Đất 	10.4785109	107.2160292			  			
Dầu Tiếng	57	Xã	39056	182.68	213.79	Thị trấn Dầu Tiếng, Xã Định An, Xã Định Thành (H. Dầu Tiếng)	Xã Định Hiệp (H. Dầu Tiếng)	xã Long Hoà, xã Thanh An, xã Minh Thạnh và tỉnh Tây Ninh	UBND huyện Dầu Tiếng	khu phố 4B, thị trấn Dầu Tiếng, huyện Dầu Tiếng	UBND huyện Dầu Tiếng khu phố 4B, thị trấn Dầu Tiếng, huyện Dầu Tiếng 	11.2942987	106.3675374			  			
Dĩ An	58	Phường	227817	21.38	10655.61	Phường Dĩ An (TP. Dĩ An), Phường An Bình (TP. Dĩ An)	Phường Tân Đông Hiệp (TP. Dĩ An)	phường Đông Hoà, phường Bình Hoà, phường An Phú, phường Tân Đông Hiệp, phường Linh Xuân, phường Tam Bình	UBND TP Dĩ An	số 10 trung tâm hành chính TP.Dĩ An cũ, TP.Dĩ An	UBND TP Dĩ An số 10 trung tâm hành chính TP.Dĩ An cũ, TP.Dĩ An 	10.8950935	106.765865			  			
Diên Hồng	59	Phường	75633	1.86	40662.9	Phường 6 (Quận 10), Phường 8 (Quận 10)	Phường 14 (Quận 10)	phường Hoà Hưng, phường Vườn Lài, phường An Đông, phường Chợ Lớn, phường Minh Phụng, phường Phú Thọ và phường Tân Hoà	UBND phường 14	số 1A Thành Thái, phường 14, quận 10	UBND phường 14 số 1A Thành Thái, phường 14, quận 10 	10.7745236	106.6649861			  			
Đông Hoà	60	Phường	132056	21.89	6033.62	Phường Bình An (TP. Dĩ An), Phường Bình Thắng (TP. Dĩ An), Phường Đông Hoà (TP. Dĩ An)		phường Dĩ An, phường Tân Đông Hiệp, phường Long Bình, phường Linh Xuân và tỉnh Đồng Nai	UBND phường Đông Hòa	số 201 đường ĐT743A, khu phố Bình Thung 2, phường Bình An, TP.Dĩ An	UBND phường Đông Hòa số 201 đường ĐT743A, khu phố Bình Thung 2, phường Bình An, TP.Dĩ An 	10.8986603	106.8088918			  			
Đông Hưng Thuận	61	Phường	182895	8.26	22142.25	Phường Tân Thới Nhất (Quận 12), Phường Tân Hưng Thuận (Quận 12), Phường Đông Hưng Thuận (Quận 12)		phường Trung Mỹ Tây, phường Tân Thới Hiệp, phường An Hội Tây, phường Tân Sơn, phường Bình Hưng Hoà, phường Tây Thạnh và xã Bà Điểm	UBND phường Tân Thới Nhất	số 68 Tân Thới Nhất 14, phường Tân Thới Nhất, quận 12	UBND phường Tân Thới Nhất số 68 Tân Thới Nhất 14, phường Tân Thới Nhất, quận 12 	10.8258709	106.6161443			  			
Đông Thạnh	62	Xã	190400	30.16	6312.99	Xã Đông Thạnh (H. Hóc Môn), Xã Nhị Bình (H. Hóc Môn), Xã Thới Tam Thôn (H. Hóc Môn)		Xã Bà Điểm, xã Hóc Môn, xã Bình Mỹ, phường Trung Mỹ Tây, phường Thới An, phường Tân Thới Hiệp, phường An Phú Đông, phường Thuận An và phường Lái Thiêu	UBND xã Đông Thạnh	số 250 Đặng Thúc Vịnh, ấp 7, xã Đông Thạnh, huyện Hóc Môn	UBND xã Đông Thạnh số 250 Đặng Thúc Vịnh, ấp 7, xã Đông Thạnh, huyện Hóc Môn 	10.9044927	106.6358119			  			
Đức Nhuận	63	Phường	71495	2.17	32946.99	Phường 4 (Quận Phú Nhuận), Phường 5 (Quận Phú Nhuận), Phường 9 (Quận Phú Nhuận)		phường Cầu Kiệu, phường Phú Nhuận, phường Tân Sơn Hoà, phường Hạnh Thông, phường Bình Lợi Trung và phường Gia Định	UBND phường 5	số 94 Phan Đăng Lưu, phường 5, quận Phú Nhuận	UBND phường 5 số 94 Phan Đăng Lưu, phường 5, quận Phú Nhuận 	10.809848	106.6835559			  			
Gia Định	64	Phường	125946	2.76	45632.61	Phường 1 (Quận Bình Thạnh), Phường 2 (Quận Bình Thạnh), Phường 7 (Quận Bình Thạnh), Phường 17 (Quận Bình Thạnh)		phường Thạnh Mỹ Tây, phường Bình Thạnh, phường Bình Lợi Trung, phường Sài Gòn, phường Tân Định, phường Đức Nhuận và phường Cầu Kiệu	Nhà thiếu nhi quận Bình Thạnh	số 134 Lê Văn Duyệt, phường 1, quận Bình Thạnh	Nhà thiếu nhi quận Bình Thạnh số 134 Lê Văn Duyệt, phường 1, quận Bình Thạnh 	10.7987261	106.6965007			  			
Gò Vấp	65	Phường	110850	2.81	39448.4	Phường 10 (Quận Gò Vấp), Phường 17 (Quận Gò Vấp)		phường Hạnh Thông, phường An Nhơn, phường Thông Tây Hội, phường An Hội Đông và phường Tân Sơn	UBND quận Gò Vấp	số 332 Quang Trung, phường 10, quận Gò Vấp	UBND quận Gò Vấp số 332 Quang Trung, phường 10, quận Gò Vấp 	10.8319219	106.669329			  			
Hạnh Thông	66	Phường	128865	3.37	38238.87	Phường 1 (Quận Gò Vấp), Phường 3 (Quận Gò Vấp)		phường An Nhơn, phường Bình Lợi Trung, phường Đức Nhuận, phường Xuân Hoà, phường Tân Sơn	UBND phường 3	số 23 Nguyễn Thái Sơn, phường 3, quận Gò Vấp	UBND phường 3 số 23 Nguyễn Thái Sơn, phường 3, quận Gò Vấp 	10.8203462	106.6827386			  			
Hiệp Bình	67	Phường	215638	16.01	13468.96	Phường Hiệp Bình Chánh (TP. Thủ Đức), Phường Hiệp Bình Phước (TP. Thủ Đức)	Phường Linh Đông (TP. Thủ Đức)	phường Tam Bình, phường Thủ Đức, phường Bình Quới, phường Bình Lợi Trung, phường An Phú Đông và phường Bình Hoà	UBND phường Hiệp Bình Chánh	số 2 đường số 5, phường Hiệp Bình Chánh, TP.Thủ Đức	UBND phường Hiệp Bình Chánh số 2 đường số 5, phường Hiệp Bình Chánh, TP.Thủ Đức 	10.8295724	106.7133757			  			
Hiệp Phước	68	Xã	67754	63.33	1069.86	Xã Nhơn Đức (H. Nhà Bè), Xã Long Thới (H. Nhà Bè), Xã Hiệp Phước (H. Nhà Bè)		xã Nhà Bè, xã Hưng Long, xã Bình Khánh, xã An Thới Đông và tỉnh Tây Ninh	UBND xã Long Thới	số 209 Nguyễn Văn Tạo, xã Long Thới, huyện Nhà Bè	UBND xã Long Thới số 209 Nguyễn Văn Tạo, xã Long Thới, huyện Nhà Bè 	10.6562443	106.7290045			  			
Hồ Tràm	69	Xã	51895	94.51	549.09	Thị trấn Phước Bửu, Xã Phước Tân, Xã Phước Thuận (H. Xuyên Mộc)		xã Phước Hải, xã Đất Đỏ, xã Xuân Sơn, xã Hoà Hội, xã Xuyên Mộc và Biển Đông	UBND huyện Xuyên Mộc	quốc lộ 55, thị trấn Phước Bửu, huyện Xuyên Mộc	UBND huyện Xuyên Mộc quốc lộ 55, thị trấn Phước Bửu, huyện Xuyên Mộc 	10.5379094	107.4063143			  			
Hoà Bình	70	Phường	69318	0.98	70732.65	Phường 5 (Quận 11), Phường 14 (Quận 11)		phường Bình Thới, phường Phú Thọ, phường Tân Phú, phường Tân Hoà	UBND phường 5	số 347 Lạc Long Quân, phường 5, quận 11	UBND phường 5 số 347 Lạc Long Quân, phường 5, quận 11 	10.7703634	106.6445325			  			
